Date,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,E-scooter Count
16/05/2018,6,22.1,94,0.9,269,21.0,0.0,2.0,0.0,Spring,No Holiday,Yes,135
13/03/2018,7,7.2,56,0.5,545,-1.0,0.0,0.0,0.0,Spring,No Holiday,Yes,668
24/12/2017,9,4.6,94,0.9,90,3.7,0.0,6.4,0.0,Winter,Holiday,Yes,3
23/04/2018,13,9.3,95,2.3,419,8.5,0.4,2.5,0.0,Spring,No Holiday,Yes,11
11/03/2018,18,9.4,22,2.9,1995,-11.2,0.55,0.0,0.0,Spring,No Holiday,Yes,776
09/11/2018,2,11.3,88,3.7,1680,9.3,0.0,0.0,0.0,Autumn,No Holiday,No,0
25/03/2018,8,5.0,79,1.1,203,1.6,0.23,0.0,0.0,Spring,No Holiday,Yes,225
24/10/2018,21,12.1,67,1.0,1977,6.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1464
15/01/2018,0,3.0,60,0.5,842,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,171
05/08/2018,22,29.1,77,3.0,1559,24.6,0.0,0.0,0.0,Summer,No Holiday,Yes,1286
06/06/2018,16,27.9,47,2.8,824,15.5,2.36,0.0,0.0,Summer,Holiday,Yes,1940
08/01/2018,18,1.5,70,2.5,638,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,316
13/12/2017,21,-8.3,39,1.0,2000,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,271
03/12/2017,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,422
28/11/2018,20,4.8,29,0.6,1756,-11.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,842
11/06/2018,10,23.7,47,1.3,2000,11.7,2.67,0.0,0.0,Summer,No Holiday,Yes,992
01/04/2018,3,11.9,71,0.7,853,6.7,0.0,0.0,0.0,Spring,No Holiday,Yes,221
09/01/2018,20,-4.9,59,0.6,1992,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,302
01/09/2018,17,29.6,42,1.3,2000,15.3,0.98,0.0,0.0,Autumn,No Holiday,Yes,1845
28/10/2018,17,9.4,85,1.2,2000,6.9,0.07,1.5,0.0,Autumn,No Holiday,Yes,535
13/05/2018,6,13.5,98,0.4,251,13.1,0.01,0.0,0.0,Spring,No Holiday,Yes,139
13/10/2018,3,7.6,78,0.7,1614,4.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,374
13/01/2018,11,-4.8,70,1.0,1244,-9.4,0.21,0.0,0.6,Winter,No Holiday,Yes,133
04/03/2018,11,10.1,88,0.7,453,8.1,0.34,0.0,0.0,Spring,No Holiday,Yes,273
15/10/2018,20,15.9,81,2.8,250,12.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1659
17/01/2018,14,7.7,54,2.6,313,-1.0,0.58,0.0,0.0,Winter,No Holiday,Yes,258
11/07/2018,2,24.5,96,0.5,476,23.8,0.0,0.0,0.0,Summer,No Holiday,Yes,236
02/02/2018,4,-6.7,65,1.1,1705,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,47
07/06/2018,17,28.2,51,3.3,879,17.0,1.73,0.0,0.0,Summer,No Holiday,Yes,2002
12/05/2018,21,15.8,97,0.6,193,15.3,0.0,0.5,0.0,Spring,No Holiday,Yes,25
19/12/2017,0,-1.0,73,2.3,881,-5.2,0.0,0.0,2.6,Winter,No Holiday,Yes,122
21/05/2018,1,14.5,31,1.1,2000,-2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,420
04/07/2018,11,30.0,60,2.3,1861,21.3,2.61,0.0,0.0,Summer,No Holiday,Yes,941
11/01/2018,12,-8.6,40,2.6,1700,-19.8,1.11,0.0,0.0,Winter,No Holiday,Yes,187
15/03/2018,4,15.1,86,2.1,877,12.7,0.0,0.0,0.0,Spring,No Holiday,Yes,9
16/01/2018,6,1.2,69,0.6,436,-3.8,0.0,0.0,0.0,Winter,No Holiday,Yes,140
11/03/2018,15,11.9,26,2.8,1338,-7.0,2.34,0.0,0.0,Spring,No Holiday,Yes,1294
13/07/2018,17,30.1,65,1.8,1923,22.7,1.36,0.0,0.0,Summer,No Holiday,Yes,1782
12/06/2018,7,17.1,77,1.5,1748,13.0,0.49,0.0,0.0,Summer,No Holiday,Yes,1573
09/04/2018,13,12.4,32,1.7,1441,-3.8,3.06,0.0,0.0,Spring,No Holiday,Yes,869
26/02/2018,9,-1.1,53,0.9,1308,-9.4,0.72,0.0,0.0,Winter,No Holiday,Yes,416
10/06/2018,11,21.3,56,1.5,1989,12.1,1.18,0.0,0.0,Summer,No Holiday,Yes,1074
25/03/2018,4,5.3,82,1.0,200,2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,90
30/08/2018,19,25.1,74,2.1,1105,20.1,0.0,0.5,0.0,Summer,No Holiday,Yes,1707
18/08/2018,21,26.8,48,0.9,2000,14.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1886
27/09/2018,6,13.4,61,0.8,2000,6.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,589
29/08/2018,4,24.6,86,4.0,1968,22.0,0.0,0.0,0.0,Summer,No Holiday,Yes,128
23/02/2018,4,1.1,96,2.5,241,0.5,0.0,0.0,3.9,Winter,No Holiday,Yes,36
21/12/2017,3,-2.9,89,1.3,288,-4.4,0.0,0.0,2.2,Winter,No Holiday,Yes,79
30/06/2018,0,23.0,84,1.9,375,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1275
19/03/2018,9,8.2,81,2.7,1273,5.1,0.2,0.5,0.0,Spring,No Holiday,Yes,387
12/12/2017,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,Winter,No Holiday,Yes,65
25/01/2018,0,-15.9,43,3.8,2000,-25.6,0.0,0.0,0.7,Winter,No Holiday,Yes,78
14/05/2018,17,24.4,51,1.9,466,13.5,1.42,0.0,0.0,Spring,No Holiday,Yes,1891
13/01/2018,6,-6.4,59,0.6,887,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,42
30/04/2018,21,19.1,73,1.2,413,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,1711
31/10/2018,23,6.4,60,1.8,1930,-0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,798
30/05/2018,20,19.1,64,2.6,1530,12.1,0.06,0.0,0.0,Spring,No Holiday,Yes,2224
30/06/2018,21,23.9,84,0.7,1552,21.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1005
09/03/2018,0,3.0,72,2.3,473,-1.5,0.0,0.0,0.0,Spring,No Holiday,Yes,272
12/10/2018,1,7.6,63,1.2,2000,0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,531
26/08/2018,18,23.4,67,0.6,2000,16.9,0.36,0.0,0.0,Summer,No Holiday,Yes,1479
25/06/2018,15,32.7,31,1.7,1243,13.3,2.3,0.0,0.0,Summer,No Holiday,Yes,1184
01/09/2018,13,29.4,48,1.9,1942,17.2,2.88,0.0,0.0,Autumn,No Holiday,Yes,1303
31/03/2018,16,18.0,32,3.0,1836,1.0,1.03,0.0,0.0,Spring,No Holiday,Yes,1578
13/12/2017,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,Winter,No Holiday,Yes,340
03/10/2018,4,12.1,80,1.2,1834,8.7,0.0,0.0,0.0,Autumn,Holiday,Yes,284
17/04/2018,6,6.9,57,0.5,1775,-1.0,0.0,0.0,0.0,Spring,No Holiday,Yes,406
06/01/2018,11,-1.6,35,2.1,1812,-15.1,0.87,0.0,0.0,Winter,No Holiday,Yes,245
01/07/2018,11,21.2,97,1.2,105,20.6,0.15,18.5,0.0,Summer,No Holiday,Yes,11
03/07/2018,5,22.6,97,0.0,1383,22.0,0.0,0.0,0.0,Summer,No Holiday,Yes,224
25/10/2018,17,19.2,36,0.7,1643,3.7,0.38,0.0,0.0,Autumn,No Holiday,Yes,1961
18/04/2018,5,6.7,50,1.6,1774,-3.0,0.0,0.0,0.0,Spring,No Holiday,Yes,154
23/08/2018,20,29.2,62,2.1,1952,21.1,0.0,0.1,0.0,Summer,No Holiday,Yes,257
03/07/2018,15,32.0,54,1.2,1962,21.5,2.99,0.0,0.0,Summer,No Holiday,Yes,1069
25/06/2018,10,26.4,55,0.9,901,16.6,1.16,0.0,0.0,Summer,No Holiday,Yes,878
05/08/2018,21,29.3,75,3.6,1674,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1465
06/05/2018,8,15.2,97,1.0,414,14.7,0.08,2.0,0.0,Spring,No Holiday,Yes,16
06/04/2018,17,6.3,50,4.4,707,-3.3,0.64,0.0,0.0,Spring,No Holiday,Yes,776
01/06/2018,17,29.2,35,4.3,1967,12.1,1.87,0.0,0.0,Summer,No Holiday,Yes,2123
09/02/2018,17,4.8,38,3.0,1582,-8.3,0.47,0.0,0.0,Winter,No Holiday,Yes,422
03/03/2018,0,0.5,34,0.4,1889,-13.5,0.0,0.0,0.0,Spring,No Holiday,Yes,218
22/11/2018,5,-0.4,39,0.8,2000,-12.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,133
31/12/2017,15,3.1,25,3.9,2000,-15.0,0.9,0.0,0.0,Winter,Holiday,Yes,300
17/01/2018,23,2.7,74,0.8,291,-1.4,0.0,0.0,0.0,Winter,No Holiday,Yes,227
04/11/2018,2,8.2,62,0.2,1415,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,378
23/04/2018,3,9.9,93,2.3,990,8.8,0.0,0.5,0.0,Spring,No Holiday,Yes,8
15/02/2018,15,3.8,17,3.2,2000,-19.0,1.97,0.0,0.0,Winter,Holiday,Yes,276
01/04/2018,23,16.3,82,1.3,480,13.2,0.0,0.0,0.0,Spring,No Holiday,Yes,588
28/01/2018,19,-6.0,31,3.6,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,134
23/12/2017,14,8.6,63,1.6,263,1.9,0.72,0.0,0.0,Winter,No Holiday,Yes,405
31/01/2018,14,-0.7,33,2.7,1984,-15.0,0.56,0.0,2.5,Winter,No Holiday,Yes,156
24/07/2018,6,27.2,71,0.8,1920,21.4,0.02,0.0,0.0,Summer,No Holiday,Yes,673
10/03/2018,17,7.7,46,2.8,1635,-3.2,1.05,0.0,0.0,Spring,No Holiday,Yes,829
25/03/2018,21,9.8,74,2.2,219,5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,456
26/01/2018,16,-10.8,28,2.7,1778,-25.8,0.77,0.0,0.4,Winter,No Holiday,Yes,147
06/10/2018,22,17.7,78,0.3,2000,13.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1459
28/06/2018,8,24.2,73,1.0,1581,19.0,0.96,0.0,0.0,Summer,No Holiday,Yes,2288
12/05/2018,16,13.8,97,0.7,196,13.3,0.12,1.5,0.0,Spring,No Holiday,Yes,34
01/09/2018,2,22.0,86,0.4,1703,19.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,785
15/10/2018,3,11.3,85,0.0,907,8.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,171
28/08/2018,22,22.9,97,1.3,2000,22.3,0.0,0.5,0.0,Summer,No Holiday,Yes,64
05/02/2018,1,-11.2,54,1.0,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,52
06/02/2018,18,-7.6,36,3.3,2000,-20.1,0.11,0.0,0.0,Winter,No Holiday,Yes,392
22/01/2018,8,-0.7,32,0.5,1991,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,683
14/12/2017,5,-10.8,48,0.8,1648,-19.6,0.0,0.0,0.0,Winter,No Holiday,Yes,62
01/01/2018,7,-4.7,56,1.1,2000,-12.1,0.0,0.0,0.0,Winter,Holiday,Yes,81
31/10/2018,14,11.9,34,2.4,1835,-3.4,2.12,0.0,0.0,Autumn,No Holiday,Yes,963
20/04/2018,8,13.0,54,1.2,738,3.8,0.68,0.0,0.0,Spring,No Holiday,Yes,1659
30/06/2018,9,24.2,81,0.9,295,20.7,0.53,0.0,0.0,Summer,No Holiday,Yes,862
06/01/2018,10,-3.5,39,2.0,1946,-15.4,0.54,0.0,0.0,Winter,No Holiday,Yes,204
13/03/2018,18,15.7,68,3.3,1473,9.8,0.39,0.0,0.0,Spring,No Holiday,Yes,1749
07/09/2018,17,24.5,37,3.2,2000,8.8,1.04,0.0,0.0,Autumn,No Holiday,Yes,2183
16/05/2018,12,22.9,87,4.0,1497,20.6,0.22,0.0,0.0,Spring,No Holiday,Yes,59
16/01/2018,5,1.1,64,0.5,505,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,58
12/08/2018,2,29.0,60,1.4,2000,20.4,0.0,0.0,0.0,Summer,No Holiday,Yes,554
10/06/2018,18,24.1,53,1.3,2000,13.9,0.48,0.0,0.0,Summer,No Holiday,Yes,2367
15/07/2018,6,24.8,83,0.2,1534,21.7,0.02,0.0,0.0,Summer,No Holiday,Yes,292
02/02/2018,17,2.0,25,2.3,1998,-16.0,0.34,0.0,0.0,Winter,No Holiday,Yes,382
06/01/2018,1,-4.8,54,1.2,1219,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,222
26/01/2018,0,-15.1,34,1.7,2000,-27.4,0.0,0.0,0.5,Winter,No Holiday,Yes,68
05/01/2018,20,-3.4,51,1.1,1391,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,322
04/01/2018,4,-7.5,55,1.3,1984,-15.0,0.0,0.0,0.0,Winter,No Holiday,Yes,38
05/01/2018,21,-3.5,53,0.9,1353,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,284
20/01/2018,15,6.3,55,3.0,355,-2.0,0.68,0.0,0.0,Winter,No Holiday,Yes,406
10/12/2017,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,280
09/08/2018,14,30.8,69,1.8,1218,24.4,1.58,0.0,0.0,Summer,No Holiday,Yes,561
17/11/2018,21,5.0,42,1.5,1927,-6.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,685
20/12/2017,6,-8.2,66,0.9,1718,-13.4,0.0,0.0,2.0,Winter,No Holiday,Yes,97
28/12/2017,1,-6.6,39,1.4,2000,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,169
25/03/2018,17,15.8,40,2.3,481,2.2,1.28,0.0,0.0,Spring,No Holiday,Yes,911
25/05/2018,2,16.1,70,0.6,787,10.6,0.0,0.0,0.0,Spring,No Holiday,Yes,437
07/10/2018,23,12.9,38,1.5,2000,-1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,840
27/09/2018,9,17.7,48,1.5,2000,6.5,1.3,0.0,0.0,Autumn,No Holiday,Yes,1120
10/03/2018,21,5.0,73,2.2,1173,0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,470
29/10/2018,4,5.6,66,0.7,2000,-0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,117
23/12/2017,15,8.6,64,1.5,269,2.1,0.57,0.0,0.0,Winter,No Holiday,Yes,443
02/10/2018,11,18.3,44,3.0,1878,5.8,2.35,0.0,0.0,Autumn,No Holiday,No,0
06/09/2018,0,22.5,83,0.5,1593,19.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,963
16/04/2018,2,7.1,64,0.9,1756,0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,126
05/01/2018,17,-0.6,45,3.3,1827,-11.0,0.24,0.0,0.0,Winter,No Holiday,Yes,446
29/05/2018,17,23.9,65,1.9,1425,16.9,1.02,0.0,0.0,Spring,No Holiday,Yes,2022
06/12/2017,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes,204
22/07/2018,9,30.5,54,0.9,1907,20.1,1.71,0.0,0.0,Summer,No Holiday,Yes,526
01/04/2018,8,12.9,64,1.5,778,6.2,0.06,0.0,0.0,Spring,No Holiday,Yes,342
23/11/2018,10,1.3,27,0.9,1856,-15.6,1.13,0.0,0.0,Autumn,No Holiday,Yes,582
15/03/2018,2,16.5,68,1.3,1724,10.5,0.0,0.0,0.0,Spring,No Holiday,Yes,203
02/09/2018,1,22.8,59,1.5,2000,14.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,930
04/05/2018,6,9.0,57,1.7,1903,0.9,0.0,0.0,0.0,Spring,No Holiday,Yes,521
31/07/2018,8,29.3,51,0.9,2000,18.1,1.02,0.0,0.0,Summer,No Holiday,Yes,1665
